date,BTC_close
2017-01-01,995.440002
2017-01-02,1017.049988
2017-01-03,1033.300049
2017-01-04,1135.410034
2017-01-05,989.349976
2017-01-06,886.159973
2017-01-07,888.869995
2017-01-08,900.859985
2017-01-09,899.780029
2017-01-10,904.369995
2017-01-11,785.429993
2017-01-12,810.109985
2017-01-13,824.830017
2017-01-14,819.630005
2017-01-15,821.169983
2017-01-16,827.340027
2017-01-17,899.659973
2017-01-18,872.030029
2017-01-19,895.210022
2017-01-20,892.909973
2017-01-21,919.840027
2017-01-22,918.840027
2017-01-23,921.460022
2017-01-24,893.75
2017-01-25,894.409973
2017-01-26,915.559998
2017-01-27,918.01001
2017-01-28,918.51001
2017-01-29,914.549988
2017-01-30,920.72998
2017-01-31,965.48999
2017-02-01,982.429993
2017-02-02,1003.969971
2017-02-03,1013.02002
2017-02-04,1031.849976
2017-02-05,1016.109985
2017-02-06,1024.670044
2017-02-07,1049.560059
2017-02-08,1055.48999
2017-02-09,978.960022
2017-02-10,997.609985
2017-02-11,1008.320007
2017-02-12,996.52002
2017-02-13,995.359985
2017-02-14,1008.340027
2017-02-15,1008.190002
2017-02-16,1031.930054
2017-02-17,1049.410034
2017-02-18,1052.280029
2017-02-19,1048.890015
2017-02-20,1077.560059
2017-02-21,1119.030029
2017-02-22,1120.459961
2017-02-23,1171.910034
2017-02-24,1176.48999
2017-02-25,1149.050049
2017-02-26,1171.579956
2017-02-27,1188.829956
2017-02-28,1189.27002
2017-03-01,1222.660034
2017-03-02,1255.469971
2017-03-03,1283.300049
2017-03-04,1264.319946
2017-03-05,1271.219971
2017-03-06,1277.01001
2017-03-07,1232.689941
2017-03-08,1146.969971
2017-03-09,1191.329956
2017-03-10,1112.390015
2017-03-11,1179.219971
2017-03-12,1225.109985
2017-03-13,1238.189941
2017-03-14,1243.140015
2017-03-15,1253.430054
2017-03-16,1172.880005
2017-03-17,1071.709961
2017-03-18,971.380005
2017-03-19,1022.599976
2017-03-20,1047.51001
2017-03-21,1121.290039
2017-03-22,1044.719971
2017-03-23,1035.030029
2017-03-24,939.700012
2017-03-25,966.299988
2017-03-26,969.440002
2017-03-27,1045.140015
2017-03-28,1044.420044
2017-03-29,1041.900024
2017-03-30,1037.910034
2017-03-31,1079.109985
2017-04-01,1086.119995
2017-04-02,1097.400024
2017-04-03,1147.560059
2017-04-04,1141.77002
2017-04-05,1129.869995
2017-04-06,1188.699951
2017-04-07,1190.48999
2017-04-08,1180.780029
2017-04-09,1204.339966
2017-04-10,1206.709961
2017-04-11,1220.73999
2017-04-12,1212.530029
2017-04-13,1176.199951
2017-04-14,1177.329956
2017-04-15,1176.98999
2017-04-16,1176.800049
2017-04-17,1194.01001
2017-04-18,1206.089966
2017-04-19,1215.199951
2017-04-20,1238.089966
2017-04-21,1249.640015
2017-04-22,1240.890015
2017-04-23,1249.140015
2017-04-24,1248.180054
2017-04-25,1264.310059
2017-04-26,1286.630005
2017-04-27,1332.910034
2017-04-28,1329.619995
2017-04-29,1336.280029
2017-04-30,1351.910034
2017-05-01,1415.810059
2017-05-02,1445.930054
2017-05-03,1485.550049
2017-05-04,1516.76001
2017-05-05,1507.77002
2017-05-06,1545.290039
2017-05-07,1554.449951
2017-05-08,1664.469971
2017-05-09,1697.5
2017-05-10,1752.310059
2017-05-11,1819.290039
2017-05-12,1686.390015
2017-05-13,1763.73999
2017-05-14,1772.550049
2017-05-15,1708.920044
2017-05-16,1729.339966
2017-05-17,1801.300049
2017-05-18,1880.98999
2017-05-19,1962
2017-05-20,2040.180054
2017-05-21,2044.189941
2017-05-22,2124.409912
2017-05-23,2272.580078
2017-05-24,2445.280029
2017-05-25,2307.219971
2017-05-26,2244.889893
2017-05-27,2052.429932
2017-05-28,2189.02002
2017-05-29,2278.209961
2017-05-30,2192.550049
2017-05-31,2303.340088
2017-06-01,2412.649902
2017-06-02,2492.600098
2017-06-03,2545.429932
2017-06-04,2524.060059
2017-06-05,2704.959961
2017-06-06,2870.5
2017-06-07,2691.51001
2017-06-08,2798.780029
2017-06-09,2811.429932
2017-06-10,2900.25
2017-06-11,2973.449951
2017-06-12,2656.77002
2017-06-13,2712.98999
2017-06-14,2467.27002
2017-06-15,2442.459961
2017-06-16,2508.580078
2017-06-17,2655.100098
2017-06-18,2539.560059
2017-06-19,2616.820068
2017-06-20,2754.379883
2017-06-21,2677.620117
2017-06-22,2722.840088
2017-06-23,2710.370117
2017-06-24,2590.050049
2017-06-25,2541.620117
2017-06-26,2446.050049
2017-06-27,2583.75
2017-06-28,2577.73999
2017-06-29,2558.370117
2017-06-30,2480.610107
2017-07-01,2424.610107
2017-07-02,2536.459961
2017-07-03,2572.469971
2017-07-04,2617.320068
2017-07-05,2627.860107
2017-07-06,2614.23999
2017-07-07,2513.879883
2017-07-08,2564.860107
